temperature,soil,rain,result
248.5,467.9,34.8,0
377.1,563.5,34.6,0
441.4,492.5,23.1,0
135.0,486.6,22.0,0
378.4,436.9,26.6,0
328.8,442.3,39.6,0
195.9,597.7,19.7,0
431.5,433.5,30.7,0
410.6,504.5,20.5,0
376.8,414.3,35.4,0
256.3,544.3,19.1,0
121.3,401.3,21.7,0
264.8,359.8,40.2,0
213.5,365.8,32.4,0
151.6,535.3,36.6,0
426.7,458.1,24.0,0
418.3,459.3,29.0,0
366.8,516.4,19.8,0
375.2,520.8,25.7,0
464.7,457.7,22.2,0
314.3,551.4,18.1,0
452.6,443.1,18.6,0
464.5,374.8,34.6,0
356.3,410.2,21.3,0
513.7,407.4,34.2,0
243.9,480.3,25.4,0
176.7,436.9,33.0,0
159.2,394.0,33.4,0
505.5,546.3,23.4,0
543.1,374.4,21.5,0
361.8,469.6,39.7,0
232.1,589.0,35.9,0
176.1,506.6,35.3,0
462.8,449.9,32.1,0
394.1,423.8,40.9,0
536.9,408.2,36.9,0
336.8,470.3,21.4,0
414.9,399.1,34.4,0
110.3,571.6,30.4,0
127.2,475.2,37.4,0
530.5,547.4,23.0,0
130.8,532.8,32.1,0
376.2,513.8,29.4,0
471.4,369.7,37.0,0
435.4,581.6,26.2,0
393.0,429.9,20.0,0
454.9,453.5,32.4,0
254.3,547.8,28.0,0
121.9,414.4,36.0,0
198.7,394.3,31.8,0
526.3,352.7,37.6,0
240.2,555.3,25.7,0
139.5,444.7,29.6,0
198.4,527.1,19.6,0
350.6,429.7,20.0,0
386.4,433.3,25.4,0
209.7,499.0,39.3,0
516.2,388.5,35.6,0
543.3,442.0,37.3,0
165.4,373.0,35.5,0
165.1,541.5,26.4,0
195.1,441.2,26.1,0
360.9,477.1,23.7,0
239.1,497.6,32.7,0
254.9,557.3,34.1,0
524.4,365.5,40.6,0
169.5,469.2,40.6,0
298.4,478.3,41.0,0
105.3,411.7,28.7,0
529.5,457.0,24.3,0
512.7,483.7,35.3,0
417.9,410.4,35.3,0
178.1,482.8,21.7,0
177.8,540.7,36.5,0
464.5,422.6,33.9,0
185.0,582.7,30.4,0
255.7,387.1,38.9,0
355.8,423.5,31.4,0
291.3,490.4,19.4,0
382.7,374.5,25.7,0
130.0,561.1,35.7,0
216.3,498.3,26.3,0
258.1,535.6,29.5,0
381.8,400.8,35.8,0
359.9,445.3,38.8,0
328.6,489.0,23.7,0
241.8,365.5,32.9,0
159.4,558.7,27.0,0
234.8,563.1,28.6,0
439.7,520.5,39.6,0
489.9,569.6,26.7,0
424.3,528.4,34.1,0
112.2,580.1,26.7,0
202.0,567.1,38.3,0
107.2,480.0,18.0,0
339.6,579.8,35.9,0
354.3,366.1,20.3,0
318.2,499.8,32.2,0
171.5,415.7,22.7,0
288.2,413.3,30.6,0
376.7,407.5,33.9,0
208.4,383.0,39.1,0
447.4,581.1,35.7,0
119.0,431.9,30.0,0
266.6,452.4,39.5,0
336.8,586.2,39.8,0
141.9,457.0,33.6,0
375.5,591.2,39.3,0
253.2,379.6,20.8,0
526.0,510.7,39.4,0
418.8,427.7,23.5,0
450.0,437.9,28.7,0
517.6,373.1,26.5,0
335.4,546.1,39.8,0
370.0,434.5,38.4,0
410.2,536.9,33.5,0
297.5,499.1,28.9,0
366.9,599.1,32.6,0
365.3,360.2,28.7,0
508.9,354.4,34.3,0
160.3,431.9,33.9,0
321.2,410.0,25.0,0
399.8,409.9,28.2,0
122.0,557.7,33.3,0
340.0,403.7,27.6,0
143.4,357.3,27.1,0
490.9,415.0,30.9,0
489.1,480.4,24.5,0
357.4,523.8,37.7,0
