temperature,rain,light,result
28.2,323.9,185.5,0
24.3,334.0,457.7,0
28.9,556.0,342.3,0
33.4,484.3,442.9,0
36.5,547.7,164.8,0
24.3,266.8,256.5,0
29.6,580.8,517.8,0
29.7,513.3,288.8,0
26.2,575.0,378.2,0
34.5,510.3,352.2,0
40.2,257.5,493.7,0
30.0,317.1,343.1,0
36.2,450.1,324.0,0
34.9,494.0,518.9,0
28.5,519.8,433.9,0
37.0,364.9,535.7,0
30.7,351.3,435.6,0
20.9,478.9,463.9,0
36.3,529.1,278.6,0
19.2,478.4,422.7,0
22.4,455.0,385.2,0
29.4,264.8,491.1,0
33.8,512.6,275.0,0
24.5,554.7,251.3,0
18.1,580.2,535.5,0
32.1,267.3,444.7,0
39.4,430.7,507.2,0
25.5,442.6,536.3,0
35.6,543.8,473.6,0
36.0,401.6,333.2,0
34.8,447.4,501.0,0
23.4,411.2,509.9,0
28.7,427.2,355.9,0
40.6,453.0,274.2,0
19.6,317.5,506.0,0
31.3,252.2,479.7,0
22.9,305.5,244.4,0
19.8,599.2,464.6,0
26.6,567.8,328.1,0
23.9,565.1,314.7,0
30.9,324.9,164.6,0
31.7,502.3,235.3,0
18.1,290.0,408.4,0
31.0,549.6,371.9,0
34.7,527.2,465.2,0
22.5,557.1,276.9,0
32.4,540.6,467.6,0
18.7,436.9,465.7,0
27.0,275.4,542.8,0
21.3,459.5,215.0,0
34.5,253.0,486.0,0
23.0,554.6,367.6,0
25.1,472.4,493.7,0
39.9,580.9,274.8,0
26.8,565.5,454.4,0
38.8,292.5,495.6,0
35.6,430.7,213.6,0
25.3,477.4,154.1,0
20.5,380.6,486.5,0
36.3,269.0,203.6,0
18.3,486.4,196.5,0
18.3,277.9,217.4,0
22.4,507.7,183.6,0
20.9,426.1,333.8,0
30.1,500.4,311.7,0
26.3,505.3,353.6,0
27.4,349.2,520.7,0
24.7,529.4,270.2,0
31.7,338.5,275.4,0
21.1,544.0,375.2,0
21.2,321.2,211.5,0
26.7,378.3,359.1,0
30.8,296.2,152.2,0
33.0,310.0,280.9,0
23.0,323.9,496.8,0
32.9,381.2,208.1,0
39.3,450.3,297.2,0
32.5,530.3,255.6,0
25.4,276.1,176.8,0
36.8,303.4,518.2,0
25.7,512.2,333.3,0
21.6,558.9,312.6,0
36.7,484.5,444.1,0
40.1,581.1,310.3,0
32.6,353.7,521.1,0
31.7,390.2,232.8,0
23.7,574.7,317.0,0
24.7,598.0,259.1,0
36.4,423.7,279.8,0
23.1,388.0,416.9,0
19.8,413.1,318.8,0
28.0,507.2,394.3,0
30.0,559.7,530.4,0
40.2,282.0,296.5,0
24.7,424.8,323.6,0
20.5,577.0,328.0,0
36.8,319.6,300.1,0
24.6,387.4,209.8,0
32.5,420.9,374.2,0
30.7,511.8,456.5,0
40.6,533.7,339.7,0
28.1,266.1,381.5,0
19.2,478.7,153.9,0
19.1,587.7,265.0,0
19.4,534.9,207.7,0
37.3,277.8,259.0,0
25.7,366.1,447.3,0
32.5,411.4,278.3,0
24.3,280.8,312.3,0
31.7,566.7,355.6,0
30.1,334.8,154.3,0
20.4,438.2,467.3,0
25.9,467.3,540.0,0
27.1,329.9,354.6,0
35.4,280.3,180.9,0
29.0,476.9,537.8,0
38.1,270.2,541.0,0
35.6,460.0,345.3,0
29.0,367.6,364.8,0
36.3,499.8,217.1,0
34.0,357.4,200.1,0
40.0,306.3,361.8,0
31.2,447.6,378.5,0
37.7,538.6,542.8,0
29.0,283.8,500.8,0
35.0,323.2,522.2,0
31.1,322.8,298.2,0
22.6,472.1,296.8,0
25.7,257.2,177.8,0
19.6,306.9,414.6,0
38.9,387.1,184.9,0
35.1,288.9,449.8,0
35.9,585.5,329.1,0
26.9,310.6,518.6,0
27.0,580.5,177.7,0
23.7,584.5,544.2,0
29.7,461.2,409.4,0
40.3,512.9,502.3,0
32.2,411.5,328.7,0
26.5,470.7,164.0,0
34.1,507.9,446.7,0
31.2,412.1,419.8,0
19.1,498.2,166.9,0
21.5,542.8,208.3,0
22.8,583.6,405.4,0
28.7,287.9,495.2,0
27.6,475.1,344.2,0
35.4,310.3,195.9,0
25.0,456.7,481.9,0
38.0,335.7,495.8,0
19.1,529.0,350.6,0
33.9,388.4,217.9,0
39.6,402.7,549.4,0
28.9,310.2,501.6,0
27.7,550.3,358.3,0
18.9,505.2,507.2,0
36.1,432.0,250.1,0
20.9,252.2,405.9,0
24.1,526.1,389.9,0
32.4,446.8,142.1,0
36.6,515.3,168.3,0
22.7,509.0,484.8,0
20.0,271.7,239.2,0
38.0,519.3,238.8,0
40.7,581.3,174.0,0
38.4,423.1,487.7,0
22.9,548.5,350.7,0
26.4,572.9,212.5,0
31.0,569.4,373.0,0
21.2,260.0,390.3,0
38.4,359.1,344.5,0
33.9,474.9,354.2,0
39.0,505.7,494.0,0
31.1,279.1,158.7,0
38.9,430.7,232.2,0
36.5,525.6,241.4,0
19.2,388.7,465.6,0
40.7,471.5,353.9,0
22.6,507.4,320.5,0
