temperature,soil,light,result
37.7,507.7,178.7,0
28.0,370.3,271.4,0
30.8,271.8,452.6,0
33.3,301.2,179.7,0
36.9,273.0,450.4,0
27.7,455.0,167.7,0
23.7,547.0,514.8,0
33.0,599.4,194.9,0
25.3,322.9,304.9,0
22.2,411.4,451.4,0
29.5,419.8,274.8,0
29.2,390.8,363.4,0
36.3,530.9,457.1,0
29.2,437.0,267.2,0
39.9,452.9,264.9,0
35.7,395.4,241.3,0
31.9,454.6,448.2,0
27.7,396.5,299.8,0
28.3,510.5,425.4,0
35.0,350.6,518.2,0
28.2,564.4,493.5,0
23.4,500.2,313.3,0
28.9,503.5,288.4,0
32.6,262.6,444.7,0
23.3,412.6,477.9,0
32.1,457.4,493.2,0
21.7,577.8,276.7,0
38.6,489.3,322.0,0
22.6,407.0,203.7,0
39.5,354.5,285.5,0
31.4,341.5,350.6,0
29.8,284.6,478.0,0
23.8,298.8,259.3,0
40.2,452.6,387.7,0
20.5,336.2,346.8,0
27.8,358.3,381.8,0
24.1,433.7,413.1,0
37.9,442.2,227.5,0
40.3,333.4,342.3,0
36.9,266.0,351.0,0
38.0,529.7,254.3,0
23.4,307.3,450.6,0
23.1,490.4,467.5,0
39.1,388.4,255.3,0
35.8,574.6,365.6,0
25.9,569.4,194.1,0
22.8,373.3,398.9,0
36.8,257.8,359.5,0
40.2,418.4,232.0,0
18.8,409.2,276.9,0
39.1,532.7,290.4,0
25.1,471.0,360.7,0
30.2,391.7,273.7,0
40.8,382.5,384.6,0
27.0,252.6,172.0,0
28.6,421.3,370.0,0
33.3,435.9,177.5,0
38.3,560.9,463.1,0
21.2,380.5,371.5,0
38.6,418.8,320.7,0
29.0,400.0,320.8,0
33.4,308.8,449.1,0
30.2,329.9,287.9,0
34.8,519.0,247.0,0
19.2,493.4,505.5,0
26.7,309.9,215.1,0
36.3,405.2,218.4,0
24.4,300.5,499.9,0
22.3,436.5,455.5,0
20.5,397.1,329.6,0
37.6,330.3,502.2,0
23.9,594.4,223.9,0
38.6,515.4,484.6,0
35.8,403.7,542.6,0
39.1,387.9,265.8,0
31.3,421.6,393.4,0
32.5,260.7,546.6,0
21.4,285.6,511.2,0
18.6,281.4,439.1,0
37.9,318.4,228.6,0
20.6,495.7,194.4,0
18.2,344.7,503.1,0
37.3,582.4,524.9,0
23.5,369.6,492.6,0
32.9,410.3,375.8,0
19.3,254.1,395.8,0
25.1,365.4,262.8,0
20.5,494.7,379.0,0
25.4,536.7,202.4,0
20.7,445.8,491.9,0
19.8,534.9,405.2,0
23.9,323.2,421.5,0
39.7,461.4,245.3,0
37.7,467.6,378.3,0
40.6,499.7,322.5,0
30.5,311.0,296.9,0
24.8,376.8,338.4,0
25.8,434.2,508.2,0
32.0,295.3,321.0,0
34.5,594.8,468.4,0
20.5,419.6,431.1,0
22.0,482.2,339.1,0
27.7,361.1,203.5,0
26.4,594.2,389.2,0
27.8,569.6,381.1,0
21.5,410.0,436.8,0
28.8,318.6,250.3,0
37.2,292.2,264.9,0
19.0,287.0,472.5,0
23.5,439.5,527.2,0
32.7,454.0,538.8,0
26.5,533.3,401.7,0
31.4,498.8,445.8,0
21.6,278.5,549.7,0
28.9,588.1,497.7,0
22.9,310.8,198.0,0
29.8,296.6,439.3,0
40.9,580.4,310.8,0
37.8,282.1,166.6,0
40.8,451.0,313.0,0
21.9,409.7,537.8,0
32.7,267.4,400.5,0
25.7,529.4,181.8,0
22.4,506.4,525.8,0
24.8,402.8,267.2,0
33.6,255.5,359.8,0
26.4,300.5,232.4,0
39.0,304.2,297.5,0
22.7,316.2,394.8,0
36.8,563.1,154.1,0
18.3,432.3,443.1,0
26.3,329.4,501.5,0
31.4,273.0,199.4,0
35.5,538.9,289.8,0
21.4,564.2,301.2,0
29.2,363.7,304.1,0
37.2,356.0,527.3,0
18.7,547.0,456.6,0
29.6,545.2,404.7,0
37.6,474.7,516.0,0
21.6,499.5,379.2,0
35.6,531.3,176.2,0
24.3,371.8,183.5,0
33.9,555.9,403.6,0
38.7,363.4,450.6,0
36.6,303.1,302.7,0
24.7,319.7,517.5,0
34.4,339.0,505.6,0
34.1,550.1,284.2,0
21.2,263.7,181.9,0
35.1,520.4,281.8,0
20.8,463.2,395.4,0
35.5,505.7,542.7,0
33.4,520.1,395.2,0
29.7,466.4,376.6,0
22.3,525.3,251.8,0
29.5,483.9,345.4,0
31.6,252.8,160.1,0
28.0,474.5,209.9,0
22.9,256.0,344.8,0
18.3,443.0,349.0,0
33.3,405.7,338.8,0
32.5,573.8,419.6,0
23.1,532.0,504.8,0
29.7,420.7,504.6,0
34.0,374.5,517.9,0
37.8,504.3,206.1,0
35.8,416.1,336.2,0
35.2,449.0,334.5,0
33.1,408.5,158.4,0
32.5,457.3,301.7,0
31.0,370.8,301.7,0
30.0,530.4,441.9,0
22.0,437.9,364.3,0
39.3,445.4,232.5,0
35.1,481.0,398.8,0
34.2,393.5,229.9,0
20.1,436.4,211.2,0
31.9,421.0,234.9,0
24.6,258.2,312.2,0
36.8,539.8,477.4,0
24.8,502.4,528.7,0
34.2,426.1,518.5,0
40.4,473.1,314.5,0
36.3,283.6,428.8,0
33.1,494.9,403.6,0
21.6,259.3,376.8,0
39.9,492.6,237.1,0
18.1,408.8,407.4,0
33.9,577.9,324.9,0
39.3,595.4,465.7,0
19.3,568.6,364.0,0
30.9,493.4,481.5,0
32.3,402.2,171.2,0
37.1,280.5,546.9,0
31.3,405.4,295.8,0
25.8,257.4,170.8,0
35.2,372.0,212.3,0
18.9,322.0,271.2,0
29.0,288.5,368.9,0
40.8,576.0,454.0,0
34.9,339.7,544.5,0
34.9,555.5,175.3,0
24.5,286.1,405.4,0
28.9,396.3,157.7,0
35.4,421.0,260.8,0
33.1,327.7,434.8,0
34.0,467.4,350.9,0
18.5,459.1,468.8,0
22.9,491.6,184.5,0
23.5,352.8,210.7,0
37.5,564.5,434.5,0
29.0,484.4,547.2,0
36.3,487.2,463.4,0
28.0,504.7,302.8,0
40.9,554.0,269.5,0
27.1,424.1,304.2,0
33.8,504.0,381.5,0
25.2,565.8,263.9,0
20.9,467.5,409.8,0
27.0,309.0,267.8,0
36.1,256.0,283.7,0
22.3,273.6,468.1,0
28.5,432.3,379.7,0
32.8,527.2,369.1,0
21.8,423.0,521.4,0
24.9,450.6,508.0,0
27.1,338.3,223.5,0
33.3,363.9,512.3,0
27.9,396.4,383.8,0
38.6,537.4,267.9,0
26.8,310.4,336.0,0
24.9,358.6,383.1,0
24.5,379.9,369.8,0
30.9,317.0,157.9,0
22.7,464.3,327.4,0
22.3,413.5,318.3,0
18.6,486.5,287.1,0
20.6,598.3,440.3,0
33.6,478.9,517.5,0
38.4,370.2,220.3,0
39.3,589.4,279.6,0
36.2,258.8,513.6,0
30.9,332.5,237.1,0
33.5,350.3,353.6,0
19.7,297.3,311.2,0
35.3,356.7,203.4,0
25.3,431.5,302.6,0
34.0,410.2,286.8,0
22.9,515.6,402.4,0
27.6,435.3,548.6,0
37.5,379.3,371.0,0
23.9,438.0,176.1,0
40.9,354.9,390.2,0
26.8,446.0,351.3,0
33.6,531.5,257.8,0
40.0,341.6,241.4,0
40.6,256.8,406.0,0
37.0,331.3,222.9,0
31.2,423.8,220.2,0
30.9,587.3,368.1,0
38.6,311.2,183.7,0
40.2,459.8,359.2,0
40.3,570.0,170.1,0
35.0,306.6,288.8,0
18.5,552.3,279.6,0
33.6,516.7,325.0,0
31.5,413.9,353.1,0
27.6,545.1,347.2,0
21.4,462.7,390.2,0
31.2,253.9,473.3,0
31.7,515.8,175.9,0
22.7,435.5,330.0,0
35.5,402.8,459.3,0
36.3,290.4,280.6,0
30.9,405.5,334.9,0
35.9,352.1,232.4,0
24.6,302.2,423.8,0
40.9,515.0,295.4,0
34.6,295.3,545.4,0
