hb,temp,result
70.4,98.4,0
82.8,99.8,0
96.6,97.3,0
63.6,99.7,0
91.2,95.7,0
90.6,95.2,0
72.6,96.6,0
87.2,99.1,0
95.6,99.9,0
92.4,96.8,0
85.6,97.6,0
68.1,98.1,0
76.2,99.0,0
87.5,99.4,0
82.1,98.3,0
83.3,98.1,0
73.6,95.2,0
73.4,95.0,0
69.2,97.7,0
70.2,98.5,0
84.4,97.4,0
61.2,98.1,0
76.1,95.9,0
66.2,95.3,0
66.7,99.0,0
73.6,98.1,0
78.6,95.8,0
87.9,96.8,0
72.0,95.9,0
75.8,99.4,0
67.6,98.0,0
100.4,97.4,0
65.7,98.9,0
89.1,99.3,0
80.2,95.6,0
71.0,95.7,0
85.7,99.5,0
73.2,100.0,0
83.0,98.6,0
83.0,98.3,0
80.0,97.7,0
81.2,98.0,0
61.0,98.3,0
61.1,98.0,0
95.6,95.3,0
70.5,96.6,0
90.1,99.2,0
87.2,97.0,0
77.2,99.6,0
62.9,96.3,0
69.5,99.3,0
63.0,98.2,0
84.4,97.6,0
85.1,97.0,0
89.9,98.9,0
68.4,96.1,0
92.2,99.6,0
82.3,96.1,0
81.0,95.7,0
86.7,98.5,0
77.6,99.3,0
83.0,98.6,0
97.2,99.1,0
78.4,95.1,0
78.6,97.2,0
91.4,99.9,0
80.9,97.1,0
96.8,95.7,0
96.2,98.1,0
67.9,98.9,0
76.2,98.2,0
85.3,97.6,0
80.9,99.0,0
62.3,97.2,0
67.1,99.0,0
88.5,97.7,0
63.3,98.6,0
99.7,98.7,0
69.9,95.6,0
70.2,99.6,0
81.4,97.8,0
69.3,99.4,0
89.2,97.5,0
94.5,99.5,0
98.9,98.6,0
91.4,99.8,0
89.6,99.2,0
100.3,99.4,0
75.6,99.2,0
79.8,98.9,0
85.5,96.5,0
78.9,95.8,0
95.6,99.3,0
96.9,98.5,0
80.5,96.7,0
84.3,99.8,0
90.3,99.1,0
74.5,96.3,0
62.0,97.2,0
100.9,99.2,0
61.7,98.6,0
82.2,97.3,0
81.6,98.9,0
71.1,95.8,0
70.0,96.4,0
91.2,97.9,0
99.1,98.5,0
91.8,97.4,0
91.3,98.3,0
87.9,99.3,0
80.0,99.5,0
84.9,98.9,0
89.3,98.2,0
81.3,99.4,0
73.3,97.8,0
91.0,95.8,0
83.3,98.3,0
61.9,97.8,0
100.8,96.5,0
67.7,98.5,0
81.0,99.0,0
79.1,98.7,0
76.9,96.9,0
92.6,99.4,0
79.7,96.0,0
71.4,98.4,0
92.4,99.4,0
93.1,99.1,0
86.8,95.2,0
75.9,99.5,0
81.3,95.5,0
79.8,97.0,0
78.4,96.6,0
100.2,98.7,0
85.5,97.3,0
68.5,97.0,0
69.0,96.0,0
97.1,97.9,0
99.8,97.9,0
89.5,95.7,0
89.5,99.8,0
100.4,95.7,0
66.9,98.6,0
84.3,99.3,0
86.7,96.1,0
68.0,97.9,0
69.0,98.2,0
66.2,95.7,0
77.1,95.7,0
82.0,99.1,0
65.1,99.1,0
90.8,98.6,0
78.3,99.3,0
62.4,95.2,0
65.7,99.8,0
89.5,97.8,0
73.4,99.7,0
100.9,99.5,0
98.1,95.3,0
87.3,98.3,0
72.7,97.1,0
93.4,97.5,0
62.2,95.6,0
80.2,97.0,0
87.7,95.2,0
67.5,99.3,0
98.3,98.9,0
73.3,97.9,0
87.3,96.0,0
83.3,95.7,0
80.5,97.2,0
95.2,99.6,0
97.2,97.9,0
71.1,99.4,0
90.7,95.5,0
70.2,98.1,0
81.8,98.3,0
90.0,96.9,0
97.6,98.0,0
86.7,97.9,0
66.1,95.6,0
62.0,97.8,0
76.1,98.1,0
89.5,98.5,0
91.8,96.2,0
100.8,95.5,0
64.0,99.4,0
63.9,98.5,0
66.7,95.7,0
73.9,99.2,0
87.2,95.4,0
97.0,98.7,0
65.7,95.2,0
84.5,99.6,0
76.9,97.2,0
82.8,96.2,0
98.6,97.5,0
79.2,99.5,0
75.0,96.7,0
75.8,96.0,0
82.6,99.5,0
100.3,95.7,0
98.8,96.2,0
66.2,99.5,0
100.5,96.5,0
93.0,97.1,0
92.4,96.0,0
72.5,96.2,0
74.1,98.8,0
78.4,99.7,0
72.0,96.7,0
78.4,97.2,0
94.6,99.0,0
100.2,99.4,0
87.0,99.7,0
95.5,98.1,0
74.9,97.8,0
65.1,99.6,0
97.1,98.8,0
69.3,96.0,0
70.5,95.2,0
64.7,96.3,0
76.6,99.5,0
65.4,99.3,0
73.0,97.4,0
98.5,95.7,0
99.2,96.3,0
100.1,98.3,0
98.8,98.7,0
99.5,97.1,0
89.1,98.2,0
63.4,96.3,0
81.4,95.3,0
68.9,98.7,0
62.9,95.8,0
85.2,95.7,0
68.3,96.5,0
99.0,97.7,0
64.3,95.7,0
61.7,98.1,0
94.8,96.0,0
63.6,95.2,0
84.9,96.3,0
73.4,98.4,0
80.7,95.7,0
85.1,95.9,0
76.0,97.0,0
76.4,98.0,0
73.9,96.7,0
64.2,98.7,0
70.4,99.2,0
76.3,95.1,0
91.5,99.6,0
79.1,97.5,0
77.8,97.4,0
78.6,98.2,0
77.5,97.8,0
72.7,95.8,0
74.4,98.5,0
78.1,98.4,0
62.9,98.7,0
67.6,98.8,0
97.0,97.9,0
68.3,97.6,0
76.1,97.0,0
93.2,98.7,0
