co,air,result
31.1,65.3,0
29.2,53.6,0
41.2,62.5,0
50.3,67.2,0
69.5,34.0,0
31.5,42.1,0
45.4,48.0,0
51.0,59.8,0
70.2,51.6,0
39.6,64.7,0
62.5,42.6,0
43.9,58.2,0
63.5,34.4,0
56.1,40.4,0
34.0,39.2,0
32.0,68.7,0
36.3,60.5,0
50.1,59.0,0
39.7,65.9,0
42.7,69.6,0
64.8,61.7,0
52.3,66.0,0
53.2,33.8,0
65.8,41.7,0
33.9,58.7,0
53.1,41.2,0
64.5,31.7,0
61.1,66.6,0
51.7,40.4,0
29.3,51.7,0
34.6,61.7,0
64.1,51.6,0
32.7,51.7,0
44.3,64.5,0
35.1,56.9,0
65.7,68.0,0
44.4,32.8,0
64.6,65.5,0
60.0,50.8,0
32.8,51.3,0
36.7,34.6,0
30.6,50.6,0
42.6,36.2,0
68.6,49.3,0
54.8,58.2,0
46.2,44.6,0
51.7,35.5,0
43.7,50.3,0
70.4,62.5,0
41.5,49.9,0
31.4,65.4,0
41.4,70.1,0
67.8,33.3,0
49.4,51.7,0
42.4,35.3,0
67.8,64.5,0
58.9,50.3,0
65.7,45.1,0
30.0,59.6,0
32.2,65.0,0
64.9,44.5,0
30.2,51.1,0
38.3,48.9,0
39.3,64.0,0
58.2,49.6,0
58.5,47.7,0
41.9,64.5,0
43.1,65.4,0
44.4,50.1,0
69.2,44.7,0
30.0,55.0,0
46.7,62.3,0
53.8,49.3,0
49.4,65.3,0
29.1,67.3,0
38.2,30.5,0
61.5,67.2,0
59.4,31.0,0
70.4,31.0,0
60.2,36.2,0
47.0,31.2,0
44.0,55.8,0
37.0,42.1,0
35.1,62.7,0
54.1,70.6,0
62.2,55.4,0
65.1,46.3,0
61.1,60.8,0
46.2,35.6,0
67.0,45.8,0
52.8,39.5,0
36.4,46.5,0
68.6,36.1,0
41.9,32.4,0
70.7,45.3,0
44.6,40.6,0
49.2,50.1,0
63.0,59.9,0
49.6,42.7,0
51.0,52.2,0
68.6,62.8,0
54.5,66.0,0
29.3,33.7,0
67.4,69.6,0
49.7,61.0,0
41.8,54.1,0
48.8,66.4,0
52.2,65.3,0
33.3,46.3,0
46.7,31.7,0
56.1,55.0,0
54.8,45.9,0
29.4,35.8,0
32.4,31.1,0
44.0,57.8,0
56.5,69.1,0
36.1,37.7,0
49.2,34.5,0
39.7,71.0,0
51.9,47.9,0
54.7,43.5,0
41.1,69.9,0
50.2,61.7,0
61.0,57.7,0
68.2,56.9,0
70.8,60.2,0
37.8,38.0,0
57.6,63.4,0
65.6,54.8,0
59.3,34.8,0
62.4,32.4,0
59.1,43.1,0
36.4,45.7,0
66.1,70.2,0
70.4,64.2,0
38.4,40.5,0
64.3,36.8,0
40.9,29.1,0
35.3,58.1,0
69.7,34.3,0
64.6,42.8,0
57.1,60.5,0
67.5,61.3,0
35.1,40.3,0
44.2,39.6,0
36.2,55.9,0
52.3,61.2,0
52.4,49.4,0
36.6,38.1,0
43.3,41.6,0
40.2,55.0,0
53.9,38.6,0
43.6,49.8,0
45.7,55.9,0
43.1,57.0,0
31.2,53.7,0
36.4,50.5,0
45.8,58.3,0
69.6,70.1,0
50.6,51.1,0
59.1,35.2,0
64.8,30.9,0
49.5,55.1,0
35.4,46.8,0
30.8,48.9,0
45.5,57.4,0
67.7,69.1,0
68.4,35.5,0
67.5,40.7,0
50.8,29.6,0
69.2,53.7,0
49.0,68.4,0
55.7,37.0,0
56.1,40.9,0
38.1,68.4,0
39.8,34.9,0
50.9,48.5,0
59.9,42.0,0
62.4,70.0,0
56.8,56.4,0
59.7,33.5,0
54.6,32.7,0
45.8,53.0,0
66.3,60.2,0
34.4,39.5,0
34.2,56.0,0
31.9,66.0,0
67.3,65.9,0
33.9,41.8,0
31.2,54.5,0
69.9,52.5,0
63.1,47.1,0
40.4,47.2,0
53.5,67.6,0
67.7,33.9,0
33.0,58.3,0
36.4,30.0,0
36.7,67.0,0
51.8,49.0,0
51.6,59.9,0
35.7,54.2,0
49.5,58.9,0
41.5,38.0,0
49.5,49.7,0
47.2,37.4,0
34.8,65.8,0
53.4,44.7,0
41.2,48.8,0
62.6,43.1,0
33.7,61.8,0
68.1,33.2,0
33.1,42.5,0
70.8,29.5,0
66.9,48.9,0
57.3,31.9,0
33.6,70.8,0
69.5,58.9,0
35.6,33.0,0
70.2,41.0,0
53.2,50.4,0
54.9,31.9,0
49.3,62.4,0
59.8,62.3,0
69.4,29.3,0
31.6,59.6,0
51.4,32.5,0
34.6,29.8,0
37.0,46.0,0
67.4,46.6,0
56.3,55.9,0
33.8,29.9,0
54.2,69.5,0
50.7,34.0,0
47.6,70.4,0
59.3,54.9,0
54.8,59.2,0
49.0,55.0,0
71.0,30.4,0
56.2,39.5,0
39.7,67.2,0
58.3,48.9,0
30.0,43.0,0
56.3,30.1,0
35.5,42.7,0
66.1,35.9,0
46.7,37.6,0
63.4,34.9,0
38.9,59.1,0
63.2,64.2,0
60.6,61.5,0
39.3,46.5,0
31.3,60.9,0
57.0,67.8,0
54.2,50.4,0
61.5,42.2,0
69.4,40.2,0
68.0,52.8,0
55.6,51.9,0
37.5,35.3,0
29.8,46.0,0
47.3,30.1,0
34.9,57.9,0
45.4,62.5,0
34.3,66.6,0
56.1,58.7,0
42.8,49.8,0
45.9,41.5,0
59.5,29.8,0
52.9,59.7,0
32.0,69.4,0
67.7,54.4,0
51.2,39.0,0
49.6,29.9,0
64.5,32.1,0
52.2,32.5,0
55.3,65.5,0
53.1,56.7,0
54.1,53.9,0
69.6,33.9,0
42.1,45.9,0
63.8,54.1,0
33.9,32.5,0
58.6,59.4,0
67.5,49.8,0
49.5,44.3,0
56.3,63.7,0
33.2,36.0,0
42.5,65.9,0
44.8,54.4,0
52.2,69.4,0
64.5,56.7,0
55.9,39.8,0
59.0,32.0,0
46.1,45.7,0
59.3,42.8,0
59.1,43.8,0
61.0,65.3,0
39.1,59.8,0
60.0,44.0,0
59.2,60.0,0
53.4,39.0,0
53.8,50.2,0
64.0,65.9,0
64.7,39.4,0
69.1,32.5,0
41.5,58.9,0
63.4,58.5,0
39.4,41.1,0
68.3,69.8,0
33.2,51.1,0
66.0,36.2,0
44.9,48.5,0
38.2,57.4,0
33.7,38.3,0
58.5,40.3,0
29.3,68.6,0
60.5,51.2,0
54.2,69.1,0
37.6,66.1,0
63.4,65.6,0
68.3,39.7,0
47.0,40.4,0
30.6,36.0,0
40.1,64.5,0
48.3,51.0,0
48.5,31.9,0
36.9,67.6,0
49.8,35.0,0
37.5,57.1,0
53.1,31.8,0
41.8,40.8,0
64.6,67.6,0
31.7,54.1,0
63.5,62.6,0
42.5,49.7,0
40.5,37.9,0
30.1,31.9,0
70.2,57.8,0
36.8,38.0,0
47.2,54.4,0
68.7,67.9,0
57.5,47.2,0
33.0,70.3,0
31.3,46.7,0
63.1,54.5,0
37.7,63.2,0
39.8,35.7,0
37.5,36.6,0
34.7,43.7,0
62.7,46.7,0
39.2,44.3,0
39.5,49.7,0
57.4,31.0,0
58.0,47.0,0
42.5,55.9,0
57.5,52.2,0
68.6,32.3,0
49.0,54.8,0
55.4,67.4,0
60.0,58.5,0
31.6,38.1,0
40.3,56.4,0
66.5,37.6,0
33.5,33.3,0
48.9,63.3,0
58.4,66.8,0
58.5,58.5,0
63.2,69.0,0
34.0,64.9,0
65.0,52.9,0
51.2,66.7,0
65.2,33.6,0
59.8,65.6,0
39.9,35.7,0
66.2,43.3,0
58.7,43.0,0
65.2,47.5,0
47.1,52.2,0
50.3,66.7,0
36.7,64.1,0
39.1,62.5,0
64.7,40.9,0
62.3,41.9,0
31.2,52.3,0
67.4,62.8,0
42.8,51.1,0
60.9,30.1,0
31.9,69.2,0
54.2,68.9,0
40.1,44.1,0
54.5,32.2,0
43.0,57.9,0
32.5,49.9,0
57.0,47.8,0
33.2,47.6,0
58.3,33.1,0
56.5,70.1,0
29.1,66.6,0
46.8,70.3,0
39.9,54.1,0
57.4,33.1,0
36.5,58.9,0
59.0,57.7,0
54.5,33.8,0
37.4,40.4,0
41.7,52.8,0
61.6,54.3,0
33.1,56.8,0
54.5,34.3,0
56.0,55.6,0
63.9,67.3,0
49.2,58.9,0
49.5,34.5,0
34.7,33.8,0
34.4,29.9,0
38.3,42.0,0
54.5,61.7,0
56.6,38.7,0
69.7,62.8,0
63.6,63.7,0
55.5,58.3,0
54.1,31.1,0
69.1,49.0,0
67.5,38.7,0
61.6,53.6,0
44.0,49.6,0
68.1,62.7,0
70.4,42.1,0
54.6,53.2,0
61.6,53.7,0
47.0,62.2,0
70.9,48.2,0
54.0,61.3,0
48.7,57.4,0
69.0,32.3,0
43.7,41.0,0
67.4,53.8,0
64.9,64.4,0
64.4,40.0,0
46.1,52.3,0
47.1,39.2,0
54.2,43.0,0
57.4,41.6,0
57.6,51.0,0
42.2,34.1,0
64.9,63.1,0
56.7,69.3,0
46.6,31.8,0
53.7,63.8,0
34.2,63.4,0
67.4,49.5,0
66.1,42.7,0
47.8,38.2,0
57.1,63.5,0
56.2,58.1,0
35.6,38.2,0
63.8,29.4,0
65.3,64.9,0
47.2,31.1,0
52.5,49.0,0
57.0,66.1,0
47.5,32.1,0
54.9,50.4,0
36.3,31.4,0
40.8,66.1,0
70.0,69.8,0
49.1,69.6,0
46.6,56.7,0
39.3,37.2,0
33.5,58.5,0
33.0,64.8,0
43.5,36.7,0
43.7,64.4,0
47.2,35.0,0
69.0,58.8,0
66.8,36.3,0
41.7,34.3,0
30.3,68.4,0
60.3,58.7,0
46.9,42.9,0
51.0,34.3,0
60.2,37.3,0
43.0,55.9,0
69.7,71.0,0
49.0,63.8,0
66.6,36.7,0
51.3,45.3,0
47.0,56.4,0
45.9,48.6,0
29.7,66.8,0
46.9,55.8,0
57.5,32.5,0
59.8,34.2,0
62.1,62.3,0
46.2,46.9,0
36.7,43.5,0
44.1,41.3,0
59.1,45.0,0
62.8,46.1,0
49.5,59.3,0
43.4,43.9,0
41.5,53.7,0
70.0,39.2,0
58.4,52.4,0
46.7,49.7,0
61.4,50.0,0
34.5,41.2,0
47.0,58.3,0
53.8,48.9,0
34.6,70.8,0
41.6,41.8,0
60.9,31.6,0
35.5,70.9,0
32.1,50.7,0
43.6,64.8,0
50.2,53.3,0
51.6,50.7,0
47.9,48.2,0
65.3,59.6,0
39.8,64.8,0
36.9,53.5,0
67.3,53.6,0
37.5,30.5,0
52.8,36.8,0
69.2,31.3,0
48.3,56.5,0
69.0,37.7,0
71.0,31.0,0
70.9,39.8,0
47.9,30.3,0
34.0,57.9,0
56.4,54.2,0
57.4,56.7,0
52.7,33.3,0
44.0,50.9,0
66.7,40.5,0
31.2,70.0,0
45.7,34.0,0
67.9,66.7,0
60.5,43.3,0
48.1,69.0,0
35.3,36.3,0
37.7,30.1,0
63.2,61.2,0
38.8,41.1,0
31.0,66.9,0
43.6,54.5,0
48.7,70.4,0
69.6,64.7,0
45.1,42.7,0
29.1,69.2,0
43.3,51.3,0
52.9,42.7,0
63.1,37.8,0
45.0,56.3,0
56.0,38.2,0
43.5,53.4,0
56.1,37.9,0
51.1,58.5,0
33.7,67.0,0
35.0,46.7,0
52.7,61.8,0
66.4,29.3,0
56.8,60.4,0
38.0,36.6,0
55.1,69.3,0
38.1,53.9,0
70.1,47.6,0
53.8,47.1,0
39.1,31.8,0
63.8,56.9,0
66.8,30.2,0
51.8,45.3,0
44.2,48.6,0
61.4,54.4,0
55.5,64.1,0
54.1,33.7,0
48.6,64.5,0
61.9,62.5,0
44.0,59.0,0
32.5,65.1,0
31.1,49.6,0
65.2,53.7,0
69.9,52.4,0
44.3,63.9,0
61.3,43.2,0
36.8,38.8,0
46.9,70.3,0
69.7,53.1,0
64.0,65.4,0
57.3,68.1,0
37.0,50.4,0
62.2,70.8,0
53.6,60.4,0
66.2,50.9,0
49.1,36.3,0
59.0,54.0,0
44.5,38.7,0
45.3,34.1,0
59.8,49.4,0
32.2,70.7,0
55.5,68.5,0
54.3,68.2,0
44.0,45.5,0
63.9,42.9,0
46.0,43.2,0
60.3,42.7,0
50.2,41.7,0
54.2,36.6,0
53.8,50.5,0
35.6,65.9,0
47.3,39.3,0
45.3,46.7,0
63.0,33.5,0
60.7,50.8,0
39.9,31.6,0
60.6,65.3,0
63.0,62.8,0
38.1,70.0,0
35.0,42.6,0
69.1,37.5,0
40.5,67.5,0
34.8,30.7,0
32.4,51.4,0
65.6,46.7,0
66.9,61.4,0
58.7,60.2,0
29.3,68.3,0
44.2,54.7,0
48.4,35.1,0
45.4,43.5,0
33.0,45.0,0
37.1,39.5,0
34.6,60.1,0
32.3,46.4,0
58.3,37.2,0
34.9,47.2,0
48.2,51.0,0
31.9,66.1,0
68.0,50.8,0
32.7,30.7,0
46.8,42.0,0
62.9,41.5,0
32.3,58.7,0
34.8,51.0,0
30.9,45.2,0
29.4,41.7,0
45.7,51.4,0
64.0,49.1,0
65.3,58.5,0
38.3,41.4,0
29.3,55.1,0
53.8,62.5,0
52.4,69.8,0
35.0,48.9,0
52.6,35.1,0
29.5,61.1,0
41.6,38.2,0
35.2,68.5,0
30.0,62.3,0
48.5,42.6,0
62.8,66.7,0
55.0,31.5,0
42.1,35.6,0
47.0,45.6,0
36.6,29.5,0
60.2,39.1,0
30.8,56.4,0
39.1,40.4,0
59.7,46.4,0
29.5,53.5,0
50.2,66.0,0
41.5,59.2,0
58.2,49.5,0
66.0,41.8,0
39.5,46.8,0
60.7,41.1,0
37.9,45.1,0
64.3,48.3,0
32.4,68.9,0
42.4,53.4,0
39.3,49.6,0
49.9,43.6,0
61.7,36.5,0
42.4,63.1,0
65.5,42.3,0
39.8,52.2,0
60.6,30.9,0
50.9,59.5,0
54.7,67.7,0
59.1,47.5,0
48.4,63.5,0
30.2,37.7,0
53.1,42.1,0
58.5,32.0,0
55.3,61.5,0
48.9,59.1,0
41.4,55.2,0
38.9,58.3,0
67.3,64.6,0
61.1,64.6,0
32.3,65.4,0
45.8,64.8,0
69.5,56.7,0
52.0,47.4,0
59.0,35.3,0
48.2,34.5,0
51.5,69.3,0
57.4,69.7,0
68.3,34.6,0
48.2,66.4,0
44.3,39.5,0
63.0,69.1,0
60.3,55.4,0
49.3,61.8,0
41.4,48.0,0
43.5,52.7,0
31.2,37.7,0
39.6,36.1,0
56.5,61.6,0
31.4,37.8,0
67.9,49.9,0
29.2,34.7,0
61.5,39.4,0
41.6,37.5,0
35.7,57.7,0
65.9,57.4,0
51.9,31.0,0
54.1,48.6,0
29.0,38.7,0
64.7,68.3,0
46.8,35.6,0
57.2,43.6,0
44.8,51.0,0
36.8,51.2,0
43.0,45.8,0
52.5,51.6,0
39.4,57.7,0
31.4,59.1,0
52.1,67.8,0
65.9,60.8,0
30.4,50.1,0
35.0,40.4,0
29.7,42.7,0
36.7,62.1,0
52.7,63.4,0
44.5,56.3,0
47.7,29.9,0
49.2,50.6,0
37.2,69.0,0
45.9,66.3,0
51.2,38.1,0
56.5,66.1,0
68.6,70.9,0
42.4,65.2,0
43.2,35.6,0
66.8,32.4,0
31.6,49.5,0
51.1,62.5,0
59.8,38.3,0
57.8,65.6,0
55.2,36.3,0
35.0,46.1,0
69.0,34.5,0
44.3,41.9,0
64.8,69.7,0
45.2,39.0,0
41.2,35.5,0
69.9,67.3,0
29.7,35.6,0
47.2,49.5,0
63.5,59.8,0
37.7,36.5,0
43.3,68.6,0
47.0,61.9,0
38.1,30.3,0
58.8,33.1,0
43.5,56.1,0
46.7,35.5,0
46.7,55.7,0
48.4,44.7,0
52.7,48.2,0
31.2,46.5,0
45.2,62.1,0
61.0,32.1,0
46.6,34.0,0
42.5,60.2,0
57.8,54.1,0
63.7,48.8,0
42.6,66.8,0
43.1,44.3,0
49.8,32.5,0
29.4,69.7,0
67.9,53.6,0
32.1,56.3,0
59.4,50.1,0
62.7,52.4,0
48.0,65.2,0
35.2,48.7,0
65.8,40.9,0
31.5,67.2,0
54.4,35.7,0
68.6,41.2,0
50.3,51.9,0
36.3,61.0,0
58.0,58.2,0
52.1,49.3,0
55.6,61.4,0
58.5,29.4,0
37.2,46.0,0
60.0,31.6,0
46.8,50.7,0
52.0,34.7,0
64.6,57.1,0
48.8,38.5,0
61.6,40.5,0
54.7,41.7,0
44.1,34.4,0
50.8,46.9,0
30.0,57.6,0
42.2,52.8,0
45.5,62.1,0
59.6,34.8,0
33.3,29.0,0
43.9,57.0,0
38.9,57.9,0
43.7,68.5,0
37.0,36.5,0
55.5,42.8,0
37.2,42.7,0
57.8,49.1,0
37.7,62.2,0
63.5,39.8,0
69.8,29.9,0
34.0,59.7,0
52.8,40.0,0
30.6,63.3,0
37.6,49.3,0
32.7,53.2,0
54.7,70.9,0
30.7,43.9,0
67.2,31.2,0
33.6,44.5,0
29.1,34.3,0
60.4,60.1,0
63.7,39.6,0
42.2,70.7,0
32.5,41.7,0
40.2,35.9,0
32.8,32.2,0
43.1,48.2,0
29.4,39.9,0
38.8,31.2,0
62.3,58.5,0
33.2,60.1,0
45.6,56.8,0
48.8,36.6,0
68.5,29.3,0
55.6,56.1,0
47.6,40.1,0
50.8,38.7,0
68.9,30.4,0
29.3,37.6,0
61.1,39.8,0
61.0,31.2,0
66.8,29.1,0
62.5,38.5,0
52.3,30.0,0
61.1,57.2,0
53.8,54.0,0
70.5,40.3,0
37.2,38.5,0
29.4,31.3,0
56.9,70.5,0
65.1,33.3,0
37.3,59.0,0
42.6,68.5,0
